geoid	detail	st_fip	cty_fip	trt_fip	state	county	pop_tot	pop_wht	pop_blk	pop_his	pop_asi	pop_two	pop_oth	pop_nat	pop_isl	pop_nw	emp_une	emp_emp	ed_grad	ed_bs	ed_as	ed_hs	ed_l_hs	med_inc
17031060800	Census Tract 608, Cook County, Illinois	17	031	060800	Illinois	Cook County	4980	0.7682730923694779	0.04819277108433735	0.04718875502008032	0.11184738955823294	0.024497991967871485	0	0	0	0.23172690763052206	0.0392156862745098	0.9607843137254902	0.2929782082324455	0.5048426150121066	0.03341404358353511	0.16319612590799032	0.00556900726392251	76121
17031060900	Census Tract 609, Cook County, Illinois	17	031	060900	Illinois	Cook County	6849	0.7094466345451891	0.04058986713388816	0.15272302525916193	0.040735873850197106	0.040735873850197106	0	0.01576872536136662	0	0.2905533654548109	0.06237816764132553	0.9376218323586745	0.284958561100335	0.41474166813613117	0.051666372773761245	0.2131899135954858	0.035443484394286684	56515
17031061000	Census Tract 610, Cook County, Illinois	17	031	061000	Illinois	Cook County	1774	0.766065388951522	0.015219842164599774	0.11161217587373168	0.08962795941375423	0.015219842164599774	0.002254791431792559	0	0	0.23393461104847801	0.020819341840161182	0.9791806581598388	0.30602782071097373	0.49768160741885625	0.02704791344667697	0.15687789799072643	0.012364760432766575	101750
17031061100	Census Tract 611, Cook County, Illinois	17	031	061100	Illinois	Cook County	1442	0.9029126213592233	0.02288488210818308	0.022191400832177532	0.0478502080443828	0	0	0.004160887656033287	0	0.09708737864077666	0.06085526315789474	0.9391447368421053	0.36305048335123524	0.47368421052631576	0.010741138560687433	0.14285714285714285	0.009667024704618665	91893
17031061200	Census Tract 612, Cook County, Illinois	17	031	061200	Illinois	Cook County	2122	0.8732327992459944	0.014608859566446749	0.05089538171536286	0.04382657869934024	0.017436380772855798	0	0	0	0.1267672007540056	0.04658197217180883	0.9534180278281912	0.23512123438648053	0.6649522409992652	0.015429831006612785	0.07494489346069066	0.009551800146950784	100139
17031061500	Census Tract 615, Cook County, Illinois	17	031	061500	Illinois	Cook County	1843	0.8752034725990233	0.0075963103635377106	0.07433532284319046	0.02930005425935974	0.013564839934888768	0	0	0	0.12479652740097669	0.04485852311939269	0.9551414768806074	0.298876404494382	0.5161048689138577	0.02546816479400749	0.13183520599250936	0.027715355805243425	99464
17031061800	Census Tract 618, Cook County, Illinois	17	031	061800	Illinois	Cook County	1179	0.7201017811704835	0.039016115351993216	0.10008481764206956	0.0916030534351145	0.043256997455470736	0.005937234944868533	0	0	0.2798982188295165	0.048642533936651584	0.9513574660633484	0.27547169811320754	0.48553459119496856	0.05786163522012579	0.13962264150943396	0.04150943396226414	44833
17031061901	Census Tract 619.01, Cook County, Illinois	17	031	061901	Illinois	Cook County	3842	0.7402394586153045	0.02316501821967725	0.09864653826132223	0.11816762103071317	0.00989068193649141	0.005726184279021343	0.0018219677251431546	0.002342529932326913	0.2597605413846955	0.030552694816340542	0.9694473051836594	0.38232468780019213	0.38392571245597185	0.04642971501761127	0.16522574447646493	0.022094140249759864	49756
17031061902	Census Tract 619.02, Cook County, Illinois	17	031	061902	Illinois	Cook County	4015	0.8156911581569116	0.03262764632627646	0.03586550435865504	0.08941469489414695	0.026400996264009963	0	0	0	0.18430884184308838	0.03429602888086643	0.9657039711191335	0.34487819195773406	0.40680950983269737	0.06193131787496331	0.18227179336659818	0.004109186968007106	57623
17031062000	Census Tract 620, Cook County, Illinois	17	031	062000	Illinois	Cook County	3003	0.8128538128538129	0.052947052947052944	0.03862803862803863	0.060939060939060936	0.03463203463203463	0	0	0	0.18714618714618714	0.02679611650485437	0.9732038834951456	0.2688301282051282	0.47315705128205127	0.055288461538461536	0.19230769230769232	0.01041666666666663	80131
